customer_id,gender,senior_citizen,partner,dependents,tenure_months,contract_type,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,phone_service,num_premium_services,monthly_charges,total_charges,payment_method,paperless_billing,clv,treatment,propensity_score,churn_binary,revenue_at_risk,tenure_bucket,uplift_score,mu_0_control,mu_1_treatment,quadrant,value_at_risk
CUST-00522,Male,0,Yes,Yes,72,Two year,Fiber optic,No,No,No internet service,No,No,No,Yes,0,118.0,7730.09,Mailed check,No,5179.75,0,0.0022,0,0.0,49+ months,-0.11347509526947677,0.10060396287227155,0.21407905814174832,Sleeping Dog,-587.77
CUST-05302,Male,0,No,No,45,Two year,DSL,Yes,No,No,No,No internet service,No,Yes,1,117.52,5435.93,Credit card (automatic),Yes,5008.98,0,0.0143,0,0.0,25-48 months,-0.19894149427753485,0.06642019648416089,0.26536169076169575,Sleeping Dog,-996.49
CUST-02075,Male,0,Yes,No,65,Two year,Fiber optic,No,Yes,No,No,No,No,Yes,1,118.0,7463.43,Electronic check,No,4983.44,0,0.0043,0,0.0,49+ months,-0.14527262994751405,0.11452257334806241,0.2597952032955765,Sleeping Dog,-723.96
CUST-07022,Female,0,Yes,Yes,72,Two year,Fiber optic,No internet service,No,No,No,Yes,No internet service,Yes,1,118.0,9243.21,Credit card (automatic),No,4962.02,0,0.004,0,0.0,49+ months,-0.10795551028371506,0.07459602042023944,0.1825515307039545,Sleeping Dog,-535.68
CUST-01956,Female,0,Yes,No,32,Two year,Fiber optic,No,No,No,Yes,Yes,Yes,Yes,3,118.0,3799.55,Electronic check,No,4933.65,0,0.0276,0,0.0,25-48 months,-0.00687726727429,0.17489948115792395,0.18177674843221395,Lost Cause,-33.93
CUST-00917,Male,0,Yes,No,72,Two year,No,Yes,No internet service,Yes,Yes,No,No internet service,Yes,3,118.0,8905.24,Credit card (automatic),Yes,4908.8,0,0.0036,0,0.0,49+ months,-0.16675499480033903,0.04948169157567283,0.21623668637601187,Sleeping Dog,-818.57
CUST-06509,Male,0,Yes,Yes,36,Two year,Fiber optic,Yes,Yes,No,No,No,No internet service,Yes,2,118.0,4497.54,Bank transfer (automatic),Yes,4775.03,0,0.0242,0,0.0,25-48 months,-0.0856036963195134,0.17781704638551873,0.26342074270503213,Sleeping Dog,-408.76
CUST-03115,Male,0,No,No,67,Two year,Fiber optic,No,Yes,No,No,No,Yes,Yes,2,107.52,7023.09,Bank transfer (automatic),No,4756.21,0,0.0022,0,0.0,49+ months,-0.23777945077028073,0.07190224542417069,0.3096816961944514,Sleeping Dog,-1130.93
CUST-04911,Female,0,No,No,25,Two year,DSL,No,Yes,Yes,No,No internet service,Yes,Yes,3,118.0,3175.79,Credit card (automatic),No,4726.78,0,0.0429,0,0.0,25-48 months,-0.09768399851580564,0.10369832550993224,0.20138232402573789,Sleeping Dog,-461.73
CUST-00053,Female,0,Yes,No,72,Two year,No,No,No internet service,Yes,No,Yes,Yes,Yes,3,118.0,8519.92,Electronic check,No,4723.36,0,0.003,0,0.0,49+ months,-0.1824219254986471,0.06368564938381154,0.24610757488245863,Sleeping Dog,-861.64
CUST-06911,Female,0,Yes,No,72,Two year,DSL,No internet service,Yes,Yes,No,No,No,Yes,2,117.89,8738.1,Electronic check,Yes,4684.64,0,0.0036,0,0.0,49+ months,-0.15084740648757852,0.04653256631621278,0.1973799728037913,Sleeping Dog,-706.67
CUST-03704,Male,1,Yes,No,72,Two year,Fiber optic,No,No internet service,Yes,Yes,Yes,No,Yes,3,109.2,8589.23,Mailed check,Yes,4663.95,0,0.0024,0,0.0,49+ months,-0.12072586378799074,0.06189288163992628,0.18261874542791703,Sleeping Dog,-563.06
