customer_id,gender,senior_citizen,partner,dependents,tenure_months,contract_type,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,phone_service,num_premium_services,monthly_charges,total_charges,payment_method,paperless_billing,clv,treatment,propensity_score,churn_binary,revenue_at_risk,tenure_bucket,uplift_score_xl,mu_0_xl,mu_1_xl,quadrant_xl,value_at_risk_xl
CUST-00522,Male,0,Yes,Yes,72,Two year,Fiber optic,No,No,No internet service,No,No,No,Yes,0,118.0,7730.09,Mailed check,No,5179.75,0,0.0022,0,0.0,49+ months,0.03637610463556835,0.10060396287227155,0.21407905814174832,Sure Thing,188.42
CUST-05302,Male,0,No,No,45,Two year,DSL,Yes,No,No,No,No internet service,No,Yes,1,117.52,5435.93,Credit card (automatic),Yes,5008.98,0,0.0143,0,0.0,25-48 months,-0.12785280039568334,0.06642019648416089,0.26536169076169575,Sleeping Dog,-640.41
CUST-02075,Male,0,Yes,No,65,Two year,Fiber optic,No,Yes,No,No,No,No,Yes,1,118.0,7463.43,Electronic check,No,4983.44,0,0.0043,0,0.0,49+ months,-0.0696972688268371,0.11452257334806241,0.2597952032955765,Sleeping Dog,-347.33
CUST-07022,Female,0,Yes,Yes,72,Two year,Fiber optic,No internet service,No,No,No,Yes,No internet service,Yes,1,118.0,9243.21,Credit card (automatic),No,4962.02,0,0.004,0,0.0,49+ months,0.07452211265403494,0.07459602042023944,0.1825515307039545,Sure Thing,369.78
CUST-01956,Female,0,Yes,No,32,Two year,Fiber optic,No,No,No,Yes,Yes,Yes,Yes,3,118.0,3799.55,Electronic check,No,4933.65,0,0.0276,0,0.0,25-48 months,-0.09062727194324488,0.17489948115792395,0.18177674843221395,Sleeping Dog,-447.12
CUST-00917,Male,0,Yes,No,72,Two year,No,Yes,No internet service,Yes,Yes,No,No internet service,Yes,3,118.0,8905.24,Credit card (automatic),Yes,4908.8,0,0.0036,0,0.0,49+ months,-0.05702782590102752,0.04948169157567283,0.21623668637601187,Sleeping Dog,-279.94
CUST-06509,Male,0,Yes,Yes,36,Two year,Fiber optic,Yes,Yes,No,No,No,No internet service,Yes,2,118.0,4497.54,Bank transfer (automatic),Yes,4775.03,0,0.0242,0,0.0,25-48 months,-0.1743694689625443,0.17781704638551873,0.26342074270503213,Sleeping Dog,-832.62
CUST-03115,Male,0,No,No,67,Two year,Fiber optic,No,Yes,No,No,No,Yes,Yes,2,107.52,7023.09,Bank transfer (automatic),No,4756.21,0,0.0022,0,0.0,49+ months,-0.08444089088079479,0.07190224542417069,0.3096816961944514,Sleeping Dog,-401.62
CUST-04911,Female,0,No,No,25,Two year,DSL,No,Yes,Yes,No,No internet service,Yes,Yes,3,118.0,3175.79,Credit card (automatic),No,4726.78,0,0.0429,0,0.0,25-48 months,-0.15445827341703539,0.10369832550993224,0.20138232402573789,Sleeping Dog,-730.09
CUST-00053,Female,0,Yes,No,72,Two year,No,No,No internet service,Yes,No,Yes,Yes,Yes,3,118.0,8519.92,Electronic check,No,4723.36,0,0.003,0,0.0,49+ months,-0.06403075300590431,0.06368564938381154,0.24610757488245863,Sleeping Dog,-302.44
